resort_slug,resort_name,state_code,state_name,country_code,country_name,is_active,is_region
welch-village-us,Welch Village,MN,MN,US,United States,True,False
wendelstein-de,Wendelstein,Bavaria,Bavaria,DE,Germany,True,False
wentworth-ca,Wentworth,NS,NS,CA,Canada,True,False
west-mountain-us,West Mountain,NY,NY,US,United States,True,False
whaleback-us,Whaleback,NH,NH,US,United States,True,False
whistler-blackcomb-ca,Whistler Blackcomb,BC,BC,CA,Canada,True,False
white-pass-us,White Pass,WA,WA,US,United States,True,False
white-pine-us,White Pine,WY,WY,US,United States,True,False
whitecap-mountain-us,Whitecap Mountain,WI,WI,US,United States,True,False
whiteface-us,Whiteface,NY,NY,US,United States,True,False
whitefish-mountain-resort-us,Whitefish Mountain,MT,MT,US,United States,True,False
whitetail-us,Whitetail,PA,PA,US,United States,True,False
whitetail-ridge-us,Whitetail Ridge,WI,WI,US,United States,True,False
whitewater-ca,Whitewater,BC,BC,CA,Canada,True,False
wild-mountain-us,Wild Mountain,MN,MN,US,United States,True,False
wildcat-us,Wildcat,NH,NH,US,United States,True,False
willamette-pass-us,Willamette Pass,OR,OR,US,United States,True,False
willard-mountain-us,Willard Mountain,NY,NY,US,United States,True,False
wilmot-mountain-us,Wilmot Mountain,WI,WI,US,United States,True,False
windham-us,Windham,NY,NY,US,United States,True,False
winter-park-us,Winter Park,CO,CO,US,United States,True,False
wintergreen-us,Wintergreen,VA,VA,US,United States,True,False
winterplace-us,Winterplace,WV,WV,US,United States,True,False
wisp-resort-us,Wisp Resort,MD,MD,US,United States,True,False
wolf-creek-us,Wolf Creek,CO,CO,US,United States,True,False
wolf-ridge-us,Wolf Ridge,NC,NC,US,United States,True,False
woods-valley-us,Woods Valley,NY,NY,US,United States,True,False
yawgoo-valley-us,Yawgoo Valley,RI,RI,US,United States,True,False
yellowstone-club-us,Yellowstone Club,MT,MT,US,United States,True,False
zao-onsen-jp,Zao Onsen,Yamagata,Yamagata,JP,Japan,True,False
zell-am-seekaprun-at,Zell am See–Kaprun,Salzburg,Salzburg,AT,Austria,True,False
zermatt-ch,Zermatt,Valais,Valais,CH,Switzerland,True,False
zugspitze-de,Zugspitze,Bavaria,Bavaria,DE,Germany,True,False
